choiceparkbd,	Women's clothes shop · Design & fashion,	https://www.facebook.com/choiceparkbd,	01884-693360,	248 likes,	Tuesday 26 January 2021 at 10:56,	Thursday 21 January 2021 at 00:47,	
snighdhasuitcase,	Art · Arts and crafts shop · Home decor,	https://www.facebook.com/snighdhasuitcase,	,	1038 likes,	Saturday 30 January 2021 at 09:21,	Friday 4 December 2020 at 08:57,	
mangomart.bd,	Fruit & vegetable shop · Gardener,	https://www.facebook.com/mangomart.bd,	01712-501941,	1900 likes,	Sunday 8 November 2020 at 14:40,	Friday 2 October 2020 at 15:32,	
trunkzbd,	Local business,	https://www.facebook.com/trunkzbd,	01682-448802,	3867 likes,	Tuesday 2 February 2021 at 11:45,	Sunday 31 January 2021 at 00:55,	
ruapkitchen2020,	Food and drink,	https://www.facebook.com/ruapkitchen2020,	01571-199063,	1319 likes,	Tuesday 2 February 2021 at 21:49,	Friday 29 January 2021 at 07:23,	
xeonitcorp,	Social media agency,	https://www.facebook.com/xeonitcorp,	01950-517203,	1247 likes,	Monday 2 November 2020 at 08:30,	Monday 2 November 2020 at 08:27,	
rakinlabel,	Company,	https://www.facebook.com/rakinlabel,	01533-154957,	2238 likes,	Tuesday 15 December 2020 at 11:02,	Tuesday 15 December 2020 at 11:01,	Saturday 11 April 2020 at 23:42
beyou007,	Product/service · Beauty, cosmetic & personal care,	https://www.facebook.com/beyou007,	01316421536,	237 likes,	Sunday 6 October 2019 at 09:32,	Wednesday 2 October 2019 at 11:33,	
tksaay,	Apparel & clothing,	https://www.facebook.com/tksaay,	01844-450898,	24957 likes,	Friday 5 February 2021 at 10:38,	Tuesday 10 November 2020 at 02:08,	
StyleMirrorByKaniz,	Women's clothes shop,	https://www.facebook.com/StyleMirrorByKaniz,	01886-444250,	5731 likes,	Tuesday 2 February 2021 at 06:51,	Wednesday 20 January 2021 at 10:17,	
Dinduniyalibrary,	Book shop,	https://www.facebook.com/Dinduniyalibrary,	01741-997779,	7109 likes,	Friday 5 February 2021 at 13:15,	Tuesday 2 February 2021 at 06:11,	
Rajshahifashionhouser,	Women's clothes shop,	https://www.facebook.com/Rajshahifashionhouser,	01707-070612,	136 likes,	Sunday 5 January 2020 at 01:51,	Wednesday 25 December 2019 at 01:30,	
watchvew,	Jewellery & watches shop,	https://www.facebook.com/watchvew,	01715-897664,	1138 likes,	Wednesday 27 January 2021 at 06:32,	Friday 22 January 2021 at 02:00,	
Somoyexclusive3,	Gift shop · Men's clothes shop · Women's clothes shop,	https://www.facebook.com/Somoyexclusive3,	01705-484261,	2903 likes,	Saturday 30 January 2021 at 04:43,	Wednesday 2 September 2020 at 03:43,	
realmeshowroom,	Mobile phone shop,	https://www.facebook.com/realmeshowroom,	01763-003003,	981 likes,	Monday 1 February 2021 at 04:42,	Tuesday 2 February 2021 at 21:18,	
GalmGlow,	Product/service · Women's clothes shop · Beauty salon,	https://www.facebook.com/GalmGlow,	01684-770772,	10533 likes,	Tuesday 26 January 2021 at 19:33,	Sunday 16 August 2020 at 20:00,	
5dreamers,	Clothing (brand) · Shopping service,	https://www.facebook.com/5dreamers,	01632-068274,	6109 likes,	Tuesday 26 January 2021 at 01:00,	Wednesday 6 January 2021 at 00:15,	
ngtechbd,	Software company,	https://www.facebook.com/ngtechbd,	01788-948024,	54824 likes,	Wednesday 16 December 2020 at 12:02,	Friday 22 November 2019 at 10:43,	
FamousFashionOriginal,	Clothing (brand) · Clothes shop · Design & fashion,	https://www.facebook.com/FamousFashionOriginal,	01874-390951,	1700 likes,	Sunday 27 December 2020 at 04:59,	Sunday 27 December 2020 at 03:54,	Tuesday 2 July 2019 at 04:08
ananattiresmart,	E-commerce website · Baby & children's clothing store,	https://www.facebook.com/ananattiresmart,	01752-970350,	5727 likes,	Thursday 14 January 2021 at 00:12,	Wednesday 20 January 2021 at 23:04,	
ABNHomeMadeFood,	,	https://www.facebook.com/ABNHomeMadeFood,	01312-937851,	428 likes,	,	,	
tanziazmart,	Shopping & retail,	https://www.facebook.com/tanziazmart,	,	837 likes,	Wednesday 3 February 2021 at 21:48,	Wednesday 3 February 2021 at 21:34,	
Mortyeropshori,	Design & fashion,	https://www.facebook.com/Mortyeropshori,	01815-106736,	52323 likes,	Friday 5 February 2021 at 19:21,	Thursday 13 February 2020 at 07:05,	
fangallerybd,	Electronics · Electronics shop · Electronics company,	https://www.facebook.com/fangallerybd,	01837-734563,	2293 likes,	,	,	
shitolfanpakistani,	Electronics company · Electronics shop · E-commerce website,	https://www.facebook.com/shitolfanpakistani,	01837-734563,	13759 likes,	,	,	
Girlsmetic03,	Beauty, cosmetic & personal care,	https://www.facebook.com/Girlsmetic03,	01971-855329,	6405 likes,	Sunday 27 September 2020 at 02:03,	Saturday 19 September 2020 at 04:02,	
SadiyaSillk,	Local business,	https://www.facebook.com/SadiyaSillk,	01837-665525,	5662 likes,	Friday 4 December 2020 at 21:40,	Thursday 3 December 2020 at 21:29,	
FreeFireDiamondTopUpFF,	Shopping & retail · Product/service · Business service,	https://www.facebook.com/FreeFireDiamondTopUpFF,	,	19492 likes,	Tuesday 2 February 2021 at 11:26,	Saturday 23 January 2021 at 20:59,	
FocallureDhaka,	Local service · Cosmetics shop · Beauty supply shop,	https://www.facebook.com/FocallureDhaka,	,	6458 likes,	Tuesday 23 July 2019 at 21:17,	Wednesday 22 May 2019 at 08:07,	Wednesday 22 May 2019 at 08:02
itshomedelivery,	At-home service,	https://www.facebook.com/itshomedelivery,	01720-998811,	3291 likes,	Wednesday 3 February 2021 at 01:39,	Monday 1 February 2021 at 02:22,	
FiestaWearbd,	Clothing (brand),	https://www.facebook.com/FiestaWearbd,	01313-488522,	2730 likes,	Saturday 30 January 2021 at 00:33,	Thursday 15 October 2020 at 07:43,	
anisa040818,	Product/service,	https://www.facebook.com/anisa040818,	01609-711734,	2710 likes,	Friday 29 January 2021 at 06:59,	Sunday 31 January 2021 at 06:42,	
GFCfansBD,	Home decor · Appliances · Electronics shop,	https://www.facebook.com/GFCfansBD,	01846-014923,	7255 likes,	Sunday 24 January 2021 at 22:18,	Monday 4 November 2019 at 06:47,	
gafasbangladesh,	Sunglasses & eyewear shop · Product/service,	https://www.facebook.com/gafasbangladesh,	01815-155425,	7237 likes,	Sunday 31 January 2021 at 04:05,	Saturday 14 November 2020 at 21:29,	
Nusayba.Fashion,	Women's clothes shop,	https://www.facebook.com/Nusayba.Fashion,	,	1517 likes,	Thursday 4 February 2021 at 23:39,	Wednesday 3 February 2021 at 11:39,	Monday 25 January 2021 at 11:55
TMNT069,	Shopping & retail,	https://www.facebook.com/TMNT069,	,	291 likes,	Thursday 4 February 2021 at 02:45,	Sunday 31 January 2021 at 22:06,	
AzureeLife,	E-commerce website,	https://www.facebook.com/AzureeLife,	01930-050505,	325807 likes,	Monday 28 December 2020 at 02:19,	Monday 28 December 2020 at 03:03,	
preetypetalsbyonna,	Clothing (brand) · Women's clothes shop · Beauty, cosmetic & personal care,	https://www.facebook.com/preetypetalsbyonna,	01867-589344,	1044 likes,	,	,	
shirinmomo2020,	Clothing (brand),	https://www.facebook.com/shirinmomo2020,	01883-899601,	3352 likes,	Friday 5 February 2021 at 07:14,	Friday 5 February 2021 at 09:11,	
arraywear06,	Clothing (brand) · Women's clothes shop · Design & fashion,	https://www.facebook.com/arraywear06,	01737-561290,	20195 likes,	Friday 5 February 2021 at 08:22,	Friday 29 January 2021 at 08:01,	
fahascollection2020,	Clothing (brand) · Product/service,	https://www.facebook.com/fahascollection2020,	,	247 likes,	Wednesday 13 January 2021 at 06:13,	Tuesday 22 December 2020 at 09:55,	
satkahonctg,	Product/service,	https://www.facebook.com/satkahonctg,	01404-520163,	1218 likes,	Friday 5 February 2021 at 05:15,	Monday 4 January 2021 at 05:42,	
HasnasCloset.BD,	Design & fashion,	https://www.facebook.com/HasnasCloset.BD,	01929-392057,	6427 likes,	Friday 5 February 2021 at 22:28,	Friday 5 February 2021 at 09:19,	
healthyandfreshfoodbd,	At-home service,	https://www.facebook.com/healthyandfreshfoodbd,	01977-225594,	2053 likes,	Saturday 30 January 2021 at 06:49,	Tuesday 26 January 2021 at 09:17,	
sarinaimportedkidsshop,	Product/service,	https://www.facebook.com/sarinaimportedkidsshop,	01798-073404,	14609 likes,	Thursday 4 February 2021 at 23:12,	Thursday 4 February 2021 at 11:10,	
ShahidaHaqueMotors,	Motorbike dealership · Product/service,	https://www.facebook.com/ShahidaHaqueMotors,	01712-415198,	479 likes,	Friday 5 February 2021 at 20:36,	Friday 5 February 2021 at 20:34,	
